iter	Passed	Remaining
0	141	141630
1	144	71981
2	146	48688
3	148	37061
4	150	29931
5	151	25129
6	154	21858
7	155	19279
8	156	17266
9	158	15653
10	159	14333
11	160	13232
12	161	12297
13	163	11517
14	164	10831
15	166	10236
16	168	9746
17	169	9269
18	171	8843
19	172	8453
20	173	8107
21	175	7790
22	176	7500
23	177	7231
24	179	6986
25	180	6763
26	183	6595
27	184	6397
28	185	6214
29	186	6042
30	188	5881
31	189	5729
32	190	5589
33	192	5456
34	193	5330
35	196	5271
36	198	5160
37	199	5054
38	201	4953
39	202	4856
40	203	4763
41	205	4678
42	206	4598
43	208	4522
44	211	4483
45	212	4413
46	214	4345
47	216	4286
48	217	4222
49	218	4159
50	220	4100
51	221	4042
52	223	3989
53	225	3944
54	226	3890
55	227	3839
56	229	3790
57	230	3741
58	231	3694
59	232	3649
60	234	3605
61	235	3562
62	236	3521
63	239	3497
64	240	3458
65	241	3421
66	243	3385
67	244	3349
68	245	3314
69	246	3280
70	248	3247
71	249	3214
72	250	3183
73	251	3153
74	254	3139
75	255	3111
76	257	3082
77	258	3054
78	259	3028
79	261	3001
80	262	2975
81	263	2950
82	264	2919
83	265	2895
84	266	2871
85	269	2861
86	270	2839
87	271	2817
88	273	2795
89	274	2773
90	275	2752
91	276	2732
92	278	2712
93	279	2692
94	280	2673
95	281	2654
96	283	2642
97	285	2627
98	286	2611
99	289	2603
100	290	2588
101	292	2575
102	294	2561
103	296	2551
104	298	2541
105	299	2527
106	301	2513
107	302	2500
108	304	2486
109	305	2473
110	307	2461
111	308	2448
112	310	2437
113	312	2428
114	313	2416
115	315	2404
116	316	2390
117	318	2379
118	319	2367
119	321	2355
120	322	2344
121	327	2356
122	329	2349
123	331	2340
124	332	2328
125	334	2317
126	335	2304
127	336	2294
128	338	2285
129	340	2275
130	342	2271
131	344	2263
132	346	2257
133	348	2251
134	350	2243
135	351	2233
136	353	2226
137	358	2237
138	360	2231
139	363	2232
140	365	2224
141	366	2212
142	367	2203
143	368	2193
144	372	2193
145	373	2185
146	375	2176
147	376	2168
148	378	2161
149	379	2151
150	380	2142
151	382	2132
152	383	2122
153	385	2116
154	387	2112
155	389	2104
156	390	2096
157	392	2089
158	393	2083
159	395	2075
160	396	2064
161	397	2056
162	398	2047
163	402	2051
164	403	2044
165	405	2037
166	406	2029
167	408	2024
168	410	2019
169	411	2011
170	413	2003
171	415	2002
172	417	1995
173	418	1988
174	420	1983
175	422	1975
176	423	1968
177	424	1960
178	425	1952
179	427	1945
180	428	1938
181	431	1938
182	432	1932
183	434	1925
184	435	1920
185	437	1913
186	438	1906
187	439	1899
188	441	1892
189	442	1885
190	443	1878
191	446	1880
192	448	1874
193	449	1868
194	450	1861
195	452	1855
196	453	1848
197	454	1841
198	455	1835
199	457	1828
200	458	1822
201	461	1821
202	462	1816
203	464	1810
204	465	1804
205	466	1798
206	467	1792
207	469	1786
208	470	1779
209	471	1773
210	472	1768
211	476	1769
212	477	1763
213	478	1757
214	479	1752
215	481	1746
216	482	1740
217	483	1734
218	484	1728
219	486	1723
220	487	1717
